Date,Authors,Retweets,TimesLooped, blockedAttempts, RepliesToTrolls,mutedReplies 
2020-10-03 17:14:40.623302,102,608, 345, 0, 0,
2020-10-04 17:14:40.623302,87,444, 345, 0, 0,
2020-10-06 17:14:40.623302, 58, 101, 357, 0, 0,
2020-10-07 17:14:40.623302, 40, 68, 275, 0, 0,
2020-10-08 17:14:40.623302, 22, 35, 240, 0, 0,
2020-10-09 17:14:40.623302, 1, 1, 383, 0, 0,
2020-10-10 12:43:45.464510, 21, 30, 42, 0, 1,
2020-10-10 19:19:48.825361, 23, 31, 170, 1, 1,
2020-10-11 10:36:36.644008, 54, 92, 345, 18, 12,
2020-10-12 12:53:58.246685, 52, 96, 169, 3, 0,
2020-10-13 09:12:37.998548, 57, 92, 301, 1, 0,
2020-10-14 09:15:08.744919, 38, 60, 264, 1, 0,
2020-10-15 08:57:31.529929, 39, 61, 189, 0, 0,
2020-10-16 09:09:37.772741, 81, 210, 386, 7, 1,
2020-10-18 21:01:32.252741, 30, 44, 56, 0, 0,
2020-10-19 08:59:35.632946, 15, 25, 112, 0, 0,
2020-10-19 13:55:00.611413, 37, 50, 266, 0, 1,
2020-10-20 08:59:30.883495, 42, 78, 318, 1, 1,
2020-10-21 09:05:48.673327, 57, 101, 289, 0, 0,
2020-10-22 09:13:34.553119, 45, 74, 252, 2, 0,
2020-10-23 08:55:53.696468, 47, 79, 381, 0, 1,
2020-10-24 16:11:36.041389, 33, 53, 127, 4, 0,
,,,,,,
2020-10-25 18:43:53.290249, 40, 61, 129, 2, 1,
2020-10-26 13:29:33.892896, 44, 78, 244, 2, 0,
2020-10-27 09:10:42.049701, 81, 190, 843, 5, 11,
2020-10-29 09:14:50.393253, 40, 75, 267, 2, 0,
2020-10-30 08:57:31.708657, 45, 69, 407, 3, 0,
2020-10-31 10:12:44.803926, 35, 62, 226, 0, 1,
,,,,,,
2020-10-31 22:24:47.833438, 6, 8, 8, 0, 2,
2020-11-01 17:07:23.833103, 52, 80, 198, 0, 0,
2020-11-02 09:08:50.219402, 44, 91, 396, 1, 2,
2020-11-03 12:37:20.308432, 78, 166, 937, 2, 2,
2020-11-05 11:32:20.286971, 53, 86, 365, 0, 1,
2020-11-06 09:02:20.334090, 45, 92, 431, 0, 2,
2020-11-07 14:42:20.570097, 34, 65, 224, 0, 0,
2020-11-08 12:07:33.240966, 36, 53, 71, 0, 0,
2020-11-08 15:33:05.636950, 26, 34, 63, 3, 0,
2020-11-09 10:15:44.490681, 37, 60, 358, 2, 2,
2020-11-10 07:56:19.440490, 37, 73, 192, 1, 3,
